"year","wiki_ref","wiki_query","producer","distributor","name","country","director","cinematography","editing","studio","budget","gross","runtime","music","writer","starring","language","released"
2000,"/wiki/Crouching_Tiger,_Hidden_Dragon","Crouching_Tiger,_Hidden_Dragon","['Bill Kong', 'Hsu Li kong', 'Ang Lee']","['Sony Pictures Classics']","Crouching Tiger, Hidden Dragon","['China', 'Hong Kong', 'Taiwan', 'United States', 'Hong Kong', 'Taiwan', 'United States']","['Ang Lee']","['Peter Pau']","['Peter Pau']","[]","17000000","213500000","120","['Tan Dun']","[]","['Chow Yun fat', 'Michelle Yeoh', 'Zhang Ziyi', 'Chang Chen', 'Sihung Lung', 'Cheng Pei pei']","['Mandarin Chinese']","2000/07/06"
2000,"/wiki/Erin_Brockovich_(film)","Erin_Brockovich_(film)","['Danny DeVito', 'Michael Shamberg', 'Stacey Sher']","['Universal Studios', 'Universal Pictures']","Erin Brockovich","['United States']","['Steven Soderbergh']","['Edward Lachman', 'Ed Lachman']","['Edward Lachman', 'Ed Lachman']","['Jersey Group', 'Jersey Films']","52000000","256300000","130","['Thomas Newman']","['Susannah Grant']","['Julia Roberts', 'Albert Finney', 'Aaron Eckhart']","['English']","2000/3/17"
2000,"/wiki/Traffic_(2000_film)","Traffic_(2000_film)","['Edward Zwick', 'Marshall Herskovitz', 'Laura Bickford']","['Focus Features', 'USA Films']","Traffic","['United States']","['Steven Soderbergh']","['Peter Andrews', 'Peter Andrews']","['Peter Andrews', 'Peter Andrews']","['Bedford Falls Productions', 'Laura Bickford Productions', 'GK Films', 'Initial Entertainment Group']","48000000","207500000","147","['Cliff Martinez']","[]","['Michael Douglas', 'Don Cheadle', 'Benicio del Toro', 'Dennis Quaid', 'Catherine Zeta Jones']","['English', 'Spanish']","2000/12/6"
2000,"/wiki/Billy_Elliot","Billy_Elliot","['Greg Brenman', 'Jon Finn']","['Universal Studios', 'Universal Pictures', 'Focus Features']","Billy Elliot","['United Kingdom']","['Stephen Daldry']","['Brian Tufano']","['Brian Tufano']","['BBC Films', 'Tiger Aspect Productions', 'Tiger Aspect Pictures', 'Working Title Films']","Pound sterling  £3000000","109300000","110","['Stephen Warbeck']","['Lee Hall', 'Lee Hall']","['Julie Walters', 'Gary Lewis', 'Gary Lewis', 'Jamie Bell', 'Jamie Draven', 'Adam Cooper', 'Adam Cooper']","['English']",""
2000,"/wiki/Quills","Quills","['Julia Chasman', 'Peter Kaufman', 'Nick Wechsler', 'Nick Wechsler']","['Fox Searchlight Pictures']","Quills","['United States', 'United Kingdom', 'Germany']","['Philip Kaufman']","['Rogier Stoffers']","['Rogier Stoffers']","['Industry Entertainment', 'Walrus & Associates']","13500000","18000000","124","['Stephen Warbeck']","['Doug Wright']","['Geoffrey Rush', 'Kate Winslet', 'Joaquin Phoenix', 'Michael Caine']","['English', 'Latin']",""
2000,"/wiki/Wonder_Boys_(film)","Wonder_Boys_(film)","['Curtis Hanson', 'Scott Rudin']","['Paramount Pictures', 'Warner Bros.']","Wonder Boys","['United States', 'United Kingdom', 'Germany', 'Japan']","['Curtis Hanson']","['Dante Spinotti']","['Dante Spinotti']","[]","55000000","33400000","111","['Christopher Young']","[]","['Michael Douglas', 'Tobey Maguire', 'Frances McDormand', 'Katie Holmes', 'Rip Torn', 'Robert Downey Jr.', 'Michael Douglas', 'Tobey Maguire', 'Frances McDormand', 'Katie Holmes', 'Rip Torn', 'Robert Downey Jr.']","['English']","2000/02/25"
2000,"/wiki/Chocolat_(2000_film)","Chocolat_(2000_film)","['David Brown', 'David Brown', 'Kit Golden', 'Leslie Holleran']","['Walt Disney Studios Motion Pictures', 'Buena Vista Pictures']","Chocolat","['United States', 'United Kingdom']","['Lasse Hallstr\xc3\xb6m']","['Roger Pratt', 'Roger Pratt']","['Roger Pratt', 'Roger Pratt']","['Miramax Films']","25000000","152699946","121","['Rachel Portman']","[]","['Juliette Binoche', 'Judi Dench', 'Alfred Molina', 'Lena Olin', 'Johnny Depp', 'Carrie Anne Moss', ""Hugh O'Conor"", 'John Wood', 'John Wood', 'Peter Stormare', 'Leslie Caron']","['English language', 'English', 'French language', 'French']","2000/12/15"
2000,"/wiki/Pollock_(film)","Pollock_(film)","['Peter M. Brant']","['Sony Pictures Classics']","Pollock","['United States']","['Ed Harris']","['Lisa Rinzler']","['Lisa Rinzler']","[]","","10558970","122","['Jeff Beal']","[]","['Ed Harris', 'Marcia Gay Harden']","['English']","2000/9/6"
2000,"/wiki/The_Road_to_El_Dorado","The_Road_to_El_Dorado","['Brook Breton', 'Bonne Radford']","['DreamWorks Pictures', '1', '1']","The Road to El Dorado","['United States']","['Don Paul', 'Bibo Bergeron', 'Eric', 'Bergeron']","[]","[]","['DreamWorks Animation']","95000000","76400000","89","['Hans Zimmer', 'John Powell', 'John Powell']","[]","['Kevin Kline', 'Kenneth Branagh', 'Rosie Perez', 'Armand Assante', 'Edward James Olmos']","['English']","2000/3/31"
2000,"/wiki/Next_Friday","Next_Friday","['Ice Cube']","['New Line Cinema']","Next Friday","['United States']","['Steve Carr']","['Christopher J. Baffa']","['Christopher J. Baffa']","['Ice Cube', 'Cube Vision']","11000000","59800000","98","['Terence Blanchard']","['Ice Cube']","['Ice Cube', 'Mike Epps', 'Justin Pierce', 'John Witherspoon', 'John Witherspoon', 'Tamala Jones', 'Tom Lister Jr.', 'Tommy', 'Lister Jr.']","['English']","2000/01/12"
